2023-04-28T05:47:36.300Z [INFO   ]: asdasd
2023-04-28T05:50:06.540Z [INFO   ]: Connected to DB
2023-04-28T05:50:42.646Z [INFO   ]: running at port 3000
2023-04-28T05:50:42.774Z [INFO   ]: Connected to DB
2023-04-28T05:51:21.619Z [INFO   ]: running at port 3000
2023-04-28T05:51:21.727Z [INFO   ]: Connected to DB
2023-04-28T05:51:27.667Z [INFO   ]: running at port 3000
2023-04-28T05:51:27.782Z [INFO   ]: Connected to DB
2023-04-28T05:54:27.250Z [INFO   ]: running at port 3000
2023-04-28T05:54:27.342Z [INFO   ]: Connected to DB
2023-04-28T06:27:02.485Z [INFO   ]: running at port 3000
2023-04-28T06:27:02.585Z [INFO   ]: Connected to DB
